Time (HH:mm:ss),Time (GPS ns),UTC offset (s),Time from start of file (s),Latitude (deg),Longitude (deg),Altitude (m),Velocity north (m/s),Velocity east (m/s),Velocity down (m/s),Acceleration Xv (m/s²),Acceleration Yv (m/s²),Acceleration Zv (m/s²),Heading (deg),Pitch (deg),Roll (deg),Velocity up (m/s)
20:45:42,1302122760201000000,-18,493.204000000,37.427879377997,-122.183118337594,8.09516906738281,5.9796,3.0276,0.0698,-1.8717,-0.5268,-10.7831,27.0821106940076,0.0697862594469343,-1.31791752035992,-0.0698
20:45:43,1302122761201000000,-18,494.204000000,37.4279223179335,-122.183091110159,8.05015754699707,2.8337,1.4171,0.0286,-6.4806,3.7755,-12.7941,26.6029460899397,-0.744214880095426,-0.655692900747714,-0.0286
20:45:44,1302122762201000000,-18,495.204000000,37.4279342970274,-122.183083436271,8.05774879455566,0.6452,0.3359,-0.0066,-0.779,-0.073,-9.9689,26.5069183634758,0.00338045099127186,-0.420436430066998,0.0066
20:45:45,1302122763201000000,-18,496.204000000,37.4279359892094,-122.183082360938,8.06868648529053,-0.0177,0.0036,-0.0048,0.4006,3.9846,-9.1941,26.52760213988,0.0450344826972827,-0.401987189063786,0.0048
20:45:46,1302122764201000000,-18,497.204000000,37.4279359624066,-122.183082508339,8.06361198425293,-0.0095,-0.0011,0.0056,0.0904,-2.4248,-14.208,26.5387175211056,0.059186540237014,-0.407888654353633,-0.0056
20:45:47,1302122765201000000,-18,498.204000000,37.4279359972975,-122.183082633797,8.0514669418335,-0.0057,-0.021,-0.003,-0.0391,2.3465,-8.8113,26.5484005078433,0.0512797226642087,-0.412128542037601,0.003
20:45:48,1302122766201000000,-18,499.204000000,37.4279359691402,-122.183082654956,8.05214691162109,-0.0098,-0.0144,-0.0087,-0.0155,0.078,-8.218,26.5539009026765,0.0399924541001315,-0.410466964431722,0.0087
20:45:49,1302122767201000000,-18,500.204000000,37.4279360044786,-122.183082588097,8.05939197540283,-0.0161,0.0065,-0.0009,0.0304,2.4019,-12.0605,26.5541300857946,0.0352369044005456,-0.412930682950784,0.0009
20:45:50,1302122768201000000,-18,501.204000000,37.4279359693463,-122.183082552561,8.06467819213867,-0.0083,0.0048,-0.0004,-0.0181,5.5877,-12.2168,26.5544165646922,0.0246944809701385,-0.413618232304941,0.0004
20:45:51,1302122769201000000,-18,502.204000000,37.4279360620482,-122.183082482936,8.06219291687012,0.0014,0.0042,0.003,0.0154,0.1749,-10.0391,26.5557916634005,0.0197670439320134,-0.409435640400486,-0.003
20:45:52,1302122770201000000,-18,503.204000000,37.4279361326632,-122.183082450354,8.05495929718018,0.0059,0.0044,0.0026,-0.031,2.8697,-12.6542,26.5706885660739,0.0237777484979292,-0.404622794921387,-0.0026
20:45:53,1302122771201000000,-18,504.204000000,37.4279361140452,-122.183082491453,8.05227375030518,0.0026,0.005,0.0032,0.0426,-5.015,-6.0802,26.5781943131901,0.0315699745117084,-0.404508203362361,-0.0032
20:45:54,1302122772201000000,-18,505.204000000,37.4279360819426,-122.183082505883,8.05471134185791,0.0005,-0.0004,-0.0045,-0.0142,2.2429,-11.0546,26.5872470463532,0.0361536368727549,-0.400382907237419,0.0045
20:45:55,1302122773201000000,-18,506.204000000,37.4279360264465,-122.183082459165,8.05784797668457,-0.0066,0.0032,0.0027,0.0476,-1.8883,-10.1242,26.5862157223219,0.035466087518598,-0.403534175110639,-0.0027
20:45:56,1302122774201000000,-18,507.204000000,37.4279360352553,-122.183082422724,8.05715084075928,-0.0023,-0.0067,-0.009,-0.0008,-1.6019,-13.6367,26.5863303138809,0.0294500306697243,-0.405997893629701,0.009
20:45:57,1302122775201000000,-18,508.204000000,37.427936082348,-122.183082424788,8.05909156799316,-0.0068,0.0072,0.0004,0.009,0.4442,-7.8285,26.5907420889035,0.0206837764042227,-0.406227076747754,-0.0004
20:45:58,1302122776201000000,-18,509.204000000,37.4279360969855,-122.183082432201,8.06135368347168,-0.0008,0.0001,0.0075,-0.041,5.4586,-11.7104,26.6000240051846,0.0166157760587939,-0.406857330322398,-0.0075
20:45:59,1302122777201000000,-18,510.204000000,37.4279361226331,-122.183082446715,8.05935668945313,-0.0007,0.0023,-0.0018,0.0086,0.8145,-8.2788,26.6031752730578,0.0150114942324276,-0.402502851079403,0.0018
20:46:00,1302122778201000000,-18,511.204000000,37.4279361277918,-122.183082445234,8.05674362182617,0.0013,-0.0023,0.0005,0.0397,-2.9087,-11.3232,26.6115977526462,0.0199389312705526,-0.401070456591576,-0.0005
